tx,minter,tokenId,tokenUri
0x274a7ac4309e564fd3aedbf135247666778b39b5605209b53b39e5fc71723745,0x2e36ED140E8c6fD6fd8E4121e06FA2DaFD107b31,45,ipfs://QmQK8wVA9zyaat5K9GSZLAadfwGusPRuFun7phsaLNbN8U
0x29fe2d1790d12bc97831a7de9f540d695de242b23e1da76cbd9e533135e194c1,0xB9d3260Cb5ba51ac4c2340294af8B606F76E55F7,46,ipfs://QmSMcBr56qxLW45LSm6d78EmS4ztgRP9WmUgLCpXyLjujh
0xbad99a41a63f89b6c53d488604ef18d36f7dec2c363c13cbc43e965d9fc5ae69,0x390cfeB54A0e4C0D5a83b78Ee6CA7CD8B312Ff55,47,ipfs://QmfLmEtoNULFFgE7ARCG3cBnMdGNfRbXhWr1U9Kc4aJDpr
0x358abb28b2be50a615e746e71ef4aa422beb3df064691ba16d03fcc920e10bc1,0xBD684Bc7af2610EC523FCa342B83eF6D5b3741cE,48,ipfs://QmaX8MDNpzrUkvfctvfrsbVHwn36sJXK9CfNUFTVJLbVkv
0x06e4f29e5a39800e560c44d2770553e115c20a3bc4658899b00c3ef73bc51c6e,0x016df27C5a9e479AB01e3053CD5a1967f96eCD6E,49,ipfs://Qma9nN4P4F1UyXMaQRjx2tGmcGgba2SvVnjbD3t3S4LDwq
0x8872fa73fd79d4c407dadd37b8c5826c7606aba0a7d6c5ea9acc6078afc682c6,0x4B162DBa01943Bd8CD8af668bE72fB769999aC83,50,ipfs://QmYV8qPGTaBmE9smySJioeuud56h8327Xoo9GKxJiGZTYU
0xf69a56d0626aab37d27d66dd1a9bb26789d087a9cec9fb2e69fe43664741c874,0x6E12A28086548B11dfcc20c75440E0B3c10721f5,51,ipfs://QmZuXmT8Ff8xYuDsR6LPvdYECruZEesCxCZ4zouVouC6fQ
0x97c4336e66a6d55311c6774595b664ba116bce69e42c99cd4d4972862bc464bb,0x000000000Cc0db8aD3244765222C6EDBA95a084b,52,ipfs://QmY27GXU6KecThtCT2njEG7Rf3CytMjsauUh8EMkXcZzR9
0x1aeeafca78bffa66ae5fba22e368709221c1933c1a7603907cdf5d8baf034dc9,0x0A14371E79A6126691F93bffdfd474c787F335d3,53,ipfs://QmXQpyRpGWvEhVk8pLBj2XQWqcuQtBBW2TDXQDqp7eEVae
0xbd7fd251fe467d9e0b94d0f85c9a52704d6c129de00ce3bb5e5ddc09a558123f,0x12F980A54f83958Ac43325d8d9E0eF38E1263f0C,54,ipfs://QmSwDMeioy9qnK6rTtH7jayo4x4rtbrcSVGh4TUAtBoAFW
